Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Federal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Percent_of_State_Cases,Cases_per_100000,Total_Deaths,Plan_type,Campus_Location,pct_change_2014_2015_gdp,pct_change_2015_2016_gdp,pct_change_2016_2017_gdp,pct_change_2017_2018_gdp,pct_change_gdp_avg,pct_change_2014_2015_income,pct_change_2015_2016_income,pct_change_2016_2017_income,pct_change_2017_2018_income,pct_change_income_avg,control_year
Private,TX,In-person,5204.0,790,32.469732,-99.708098,Abilene Christian University,", Abilene, Texas 79699",Midsize,Yes,69502352.0,20187.0,19263408.0,10550.0,3525,1767,385,4,79699,Abilene,Taylor,0.0,0.0,0,0,0,0,34137.5,48972.25,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085.0,0.2,786.0,19.0,In-class,City,-0.007143146826174108,-0.01258831304229327,0.02050155157153389,0.04774738643351782,0.01212936953414608,-0.032784288881849866,-0.015485742356546353,0.01869936084776772,0.05735410738442879,0.006945859248450074,Private-4
Private,TX,TBD,2344.0,790,32.4768502,-99.7340564,Hardin-Simmons University,"2200 Hickory, Abilene, Texas 79698-0001",Midsize,Yes,30714874.0,18110.0,6757086.0,6560.0,1742,582,204,4,79698,Abilene,Taylor,0.0,0.0,0,0,0,0,28100.0,40543.0,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085.0,0.2,786.0,19.0,Not In-Class,City,-0.007143146826174108,-0.01258831304229327,0.02050155157153389,0.04774738643351782,0.01212936953414608,-0.032784288881849866,-0.015485742356546353,0.01869936084776772,0.05735410738442879,0.006945859248450074,Private-4
Private,TX,Hybrid,1132.0,790,32.43038,-99.749702,McMurry University,"S 14th and Sayles Blvd, Abilene, Texas 79697",Midsize,Yes,15298291.0,15952.0,5748521.0,7408.0,1166,9,127,4,79697,Abilene,Taylor,0.0,0.0,0,0,0,0,27170.0,41021.5,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085.0,0.2,786.0,19.0,In-class,City,-0.007143146826174108,-0.01258831304229327,0.02050155157153389,0.04774738643351782,0.01212936953414608,-0.032784288881849866,-0.015485742356546353,0.01869936084776772,0.05735410738442879,0.006945859248450074,Private-4
Public,GA,Online,4291.0,3076,31.48307599999999,-83.53019429999998,Abraham Baldwin Agricultural College,"2802 Moore Hwy, Tifton, Georgia 31793-2601",Distant,Yes,16222202.0,4953.0,8519194.0,5679.0,3927,0,201,4,31793,Tifton,Tift,10253.25,3506.0,0,0,0,0,0.0,15242.5,0.304157549234,0.678336980306,33648.0,36633.0,35361.0,36148.0,37805.0,1631881.0,1803154.0,1641382.0,1671954.0,1722446.0,GA,19,118,256,750,1208,0,5,17,26,34,1297.0,0.6,3191.0,35.0,Not In-Class,Town,0.10495434409739436,-0.08971613073536702,0.018625767798111592,0.030199395437912762,0.016015844149512924,0.08871255349500712,-0.03472279092621407,0.022256157914086142,0.04583932721035742,0.030521311923309157,Public-4
Public,FL,Online,29772.0,2367,26.374987599999997,-80.10106329999998,Florida Atlantic University,"777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida 33431-0991",Small,Yes,131759569.0,9031.0,50902616.0,6453.0,24740,5321,1484,4,33431,Boca Raton,Palm Beach,17288.0,4843.0,5467,16695,1226,1226,0.0,23924.5,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737.0,7.0,2388.0,892.0,Not In-Class,City,0.055836140891176986,0.028060928596162243,0.04143277889454957,0.02426454636714784,0.03739859868725917,0.06180624867676859,0.00039878654949938045,0.07035776825500775,0.06087812404399931,0.048360231881318765,Public-4
Private,FL,In-person,3093.0,2367,26.384253499999996,-80.12497950000002,Lynn University ,"3601 N. Military Trail, Boca Raton, Florida 33431-5598",Small,Yes,30224444.0,15858.0,4679903.0,6282.0,2422,825,208,4,33431,Boca Raton,Palm Beach,0.0,0.0,0,0,0,0,37575.0,55872.75,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737.0,7.0,2388.0,892.0,In-class,City,0.055836140891176986,0.028060928596162243,0.04143277889454957,0.02426454636714784,0.03739859868725917,0.06180624867676859,0.00039878654949938045,0.07035776825500775,0.06087812404399931,0.048360231881318765,Private-4
Private,FL,In-person,3705.0,2367,26.7047472,-80.0504326,Palm Beach Atlantic University,"901 S. Flagler Drive, West Palm Beach, Florida 33401",Midsize,Yes,44756157.0,19630.0,8141244.0,6282.0,2883,808,369,4,33401,West Palm Beach,Palm Beach,0.0,0.0,0,0,0,0,30605.0,47444.5,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737.0,7.0,2388.0,892.0,In-class,City,0.055836140891176986,0.028060928596162243,0.04143277889454957,0.02426454636714784,0.03739859868725917,0.06180624867676859,0.00039878654949938045,0.07035776825500775,0.06087812404399931,0.048360231881318765,Private-4
Public,FL,Online,31816.0,2367,26.840894300000002,-80.0792512,Palm Beach State College,"4200 Congress Ave, Lake Worth, Florida 33461-4796",Large,No,62084169.0,4463.0,10901708.0,4405.0,31289,0,1252,4,33461,Lake Worth,Palm Beach,8732.0,2444.0,0,0,0,0,0.0,18464.0,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737.0,7.0,2388.0,892.0,Not In-Class,Suburb,0.055836140891176986,0.028060928596162243,0.04143277889454957,0.02426454636714784,0.03739859868725917,0.06180624867676859,0.00039878654949938045,0.07035776825500775,0.06087812404399931,0.048360231881318765,Public-4
Public,CO,In-person,3110.0,1362,37.4746242,-105.8806504,Adams State University,"208 Edgemont Blvd, Alamosa, Colorado 81101",Remote,Yes,11947354.0,8765.0,5792666.0,6839.0,1955,1159,184,4,81101,Alamosa,Alamosa,20588.25,9368.25,4590,7830,2721,2721,0.0,22748.25,0.459330143541,0.439466434682,32221.0,34706.0,34692.0,35437.0,37351.0,600714.0,662337.0,659375.0,654314.0,671553.0,CO,1,10,74,191,222,0,2,2,3,8,224.0,0.5,1380.0,19.0,In-class,Town,0.10258292631768197,-0.0044720436877299635,-0.007675450236966825,0.02634667758904746,0.02919552749550816,0.0771236150336737,-0.0004033884630899556,0.021474691571543872,0.05401134407540142,0.038051565554382265,Public-4
Private,NY,Online,8146.0,3194,40.7198865,-73.6522537,Adelphi University,"South Ave, Garden City, New York 11530-0701",Large,Yes,94918781.0,19075.0,22354805.0,6966.0,5360,2631,1116,4,11530,Garden City,Nassau,0.0,0.0,0,0,0,0,37987.5,57528.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480.0,10.4,3204.0,2194.0,Not In-Class,Suburb,0.01225380888527345,0.0051252333595606814,0.007837763363975209,-0.0014470629778125005,0.00594243565774921,0.042414030991296967,0.02694309750168633,0.05549634403271781,0.054844542551192935,0.044924503769223516,Private-4
