Institution,Control,State,Category,Plan,Lat,Long,March_Death,April_Death,May_Death,June_Death,March_Hospitalized,April_Hospitalized,May_Hospitalized,June_Hospitalized,March_InICU,April_InICU,May_InICU,June_InICU,March_onVentilatorCumulative,April_onVentilatorCumulative,May_onVentilatorCumulative,June_onVentilatorCumulative,March_Positive,April_Positive,May_Positive,June_Positive,March_Recovered,April_Recovered,May_Recovered,June_Recovered,constitution_party_numbers,democrat_numbers,green_numbers,libertarian_numbers,republican_numbers
Abilene Christian University,Private,TX,"<a href=""https://www.acu.edu/coronavirus/april-29-2020-news-release-about-plans-to-reopen-campus-in-fall-2020.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,32.469732,-99.70809799999999,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Angelo State University,Public,TX,"<a href=""https://www.angelo.edu/emergency-notifications/coronavirus-updates.php"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,31.4382686,-100.4602762,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Baylor University,Private,TX,"<a href=""https://www.baylor.edu/president/news.php?action=story&amp;story=218786"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,31.5469132,-97.1210998,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Concordia University Texas,Private,TX,"<a href=""https://www.concordia.edu/blog/announcements-for-fall-2020.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,30.420940500000004,-97.8362821,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Dallas Baptist University,Private,TX,"<a href=""https://www.dbu.edu/news/2020/05/dbu-proceeds-with-fall-2020-classes.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,32.7100766,-96.9469828,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Dallas County Community College District,Public,TX,"<a href=""https://www.dcccd.edu/au/news-media/coronavirus/faq/pages/default.aspx"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for online</a>",Planning for online,32.7664038,-96.7939596,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
LeTourneau University,Private,TX,"<a href=""https://www.letu.edu/wbi.html"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,32.466224600000004,-94.72733509999999,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Lubbock Christian University,Private,TX,"<a href=""https://lcu.edu/resources/health-and-safety/medical-clinic/coronavirus/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.5742175,-101.9336157,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
McMurry University,Private,TX,"<a href=""https://news.mcm.edu/2020/04/McMurry%20University%20Returns%20To%20Face-to-Face%20Classes.html#.XrnFMBNKhmB"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,32.43038,-99.749702,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Midwestern State University,Public,TX,"<a href=""https://msutexas.edu/coronavirus/index.php"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,33.8713557,-98.5215656,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Prairie View A&M University,Public,TX,"<a href=""http://www.pvamu.edu/coronavirus/wp-content/uploads/sites/191/2020/05/Fall-Semester-Update-5.1.2020.pdf"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,30.0939175,-95.9898964,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Rice University,Private,TX,"<a href=""https://www.ricethresher.org/article/2020/05/leebron-announces-plan-for-fall-semester"" target=""_blank"" rel=""nofollow noopener noreferrer"">Proposing a hybrid model</a>",Proposing a hybrid model,29.7173941,-95.4018312,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
Sain Mary's University,Private,TX,"<a href=""https://www.stmarytx.edu/emergency/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Planning for in-person</a>",Planning for in-person,29.4523378,-98.5640981,227,11438,39119,1678,0,0,0,0,0,0,0,0,0,0,0,0,17027,475272,1430663,64880,76,138687,831932,43338,0,5,3,5,5
