Name,Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng
Aaniiih Nakoda College,Public,MT,TBD,150.0,134,48.4838563,-108.7576639
Abilene Christian U.,Private,TX,Primarily in person,5204.0,790,32.469732,-99.70809799999999
Abraham Baldwin Agricultural College,Public,GA,Primarily online,4291.0,3076,31.48307599999999,-83.53019429999999
Academy for Nursing and Health Occupations,Private,FL,Other,466.0,2367,26.7064232,-80.1214853
Academy of Interactive Entertainment,Private,LA,TBD,64.0,2645,30.2200624,-92.04322909999999
Adams State U.,Public,CO,Primarily in person,3110.0,1362,37.4746242,-105.8806504
Adelphi U.,Private,NY,Primarily online,8146.0,3194,40.7198865,-73.6522537
Adrian College,Private,MI,Primarily in person,1856.0,398,41.8987054,-84.05924139999999
AdventHealth U.,Private,FL,Primarily online,1705.0,2248,28.576258,-81.36762619999999
Agnes Scott College,Private,GA,Fully online,1030.0,1679,33.7685056,-84.29453459999999
Aiken Technical College,Public,SC,Primarily online,2267.0,893,33.534518,-81.842672
Aims Community College,Public,CO,TBD,6250.0,1202,40.409654,-104.7623827
Akron Institute of Herzing U.,Private,OH,TBD,453.0,600,41.0281267,-81.49318989999999
Alabama A&M U.,Public,AL,Hybrid,6106.0,1407,34.7827196,-86.568614
Alabama State U.,Public,AL,Hybrid,4413.0,2773,32.3636575,-86.2940174
Alamance Community College,Public,NC,Primarily online,4248.0,1374,36.066108,-79.357563
Alaska Bible College,Private,AK,TBD,45.0,291,41.7366939,-93.62456259999999
Alaska Christian College,Private,AK,Fully in person,81.0,522,60.49045220000001,-151.1358675
Alaska Pacific U.,Private,AK,Hybrid,502.0,634,61.1892616,-149.8065058
Albany College of Pharmacy and Health Sciences,Private,NY,Hybrid,1331.0,820,42.6521957,-73.7788392
Albany State U.,Public,GA,Primarily in person,6371.0,2858,31.5690557,-84.1403888
Albany Technical College,Public,GA,Fully online,3181.0,2858,31.5547831,-84.17439600000002
Albertus Magnus College,Private,CT,Primarily in person,1456.0,1518,41.3316093,-72.9226957
Albion College,Private,MI,TBD,1533.0,556,42.2440064,-84.7451775
Albright College,Private,PA,Primarily online,1934.0,1246,40.3615456,-75.910759
Alcorn State U.,Public,MS,Primarily online,3658.0,4386,31.8742035,-91.13729239999999
Alderson Broaddus U.,Private,WV,Primarily in person,911.0,173,39.1583178,-80.0486604
Alexandria Technical and Community College,Public,MN,Primarily in person,2614.0,347,45.87295460000001,-95.3724101
Alfred State College,Public,NY,Primarily in person,3737.0,157,42.2552377,-77.7946533
Alfred U.,Private,NY,Primarily online,2302.0,157,42.253418,-77.78770519999999
Alice Lloyd College,Private,KY,TBD,644.0,258,37.3359167,-82.8735944
Allan Hancock College,Public,CA,TBD,11285.0,1390,34.9446133,-120.4189337
Allegany College of Maryland,Public,MD,Hybrid,2585.0,377,39.6510662,-78.7303287
Allegheny College,Private,PA,Fully in person,1771.0,147,41.6484557,-80.1455328
Allegheny Wesleyan College,Private,OH,TBD,72.0,1510,40.86720950000001,-80.860503
Allen College,Private,IA,TBD,662.0,2246,42.53027600000001,-92.340097
Allen County Community College,Public,KS,TBD,2540.0,111,37.938448,-95.399694
Allen U.,Private,SC,TBD,743.0,1917,34.010694,-81.020246
Alma College,Private,MI,Primarily in person,1433.0,351,43.3807565,-84.6728043
Alpena Community College,Public,MI,TBD,1429.0,437,45.0812661,-83.4446279
Altierus Career College at Henderson (Nev.),Private,NV,TBD,97.0,2015,36.0374624,-115.0460894
Altierus Career College at Norcross (Ga.),Private,GA,Primarily online,434.0,1971,33.93400099999999,-84.1557198
Altierus Career College-Bissonnet (Tex..),Private,TX,TBD,383.0,1585,29.6774073,-95.5452622
Altierus Career U. at Tampa (Fla.),Private,FL,TBD,222.0,2184,27.9966431,-82.4975767
Alvernia U.,Private,PA,Primarily in person,2792.0,1246,40.3112017,-75.931668
Alverno College,Private,WI,Primarily in person,1851.0,2067,42.9834571,-87.96498590000002
Alvin Community College,Public,TX,TBD,5573.0,1846,29.396337,-95.240639
Amarillo College,Public,TX,Hybrid,9854.0,2899,35.1875036,-101.8482868
America Evangelical U.,Private,CA,TBD,85.0,1903,34.0412275,-118.30882
American Academy McAllister Institute of Funeral Service,Private,NY,Fully online,440.0,1872,40.7689191,-73.99366490000001
American Academy of Art,Private,IL,Fully in person,242.0,2043,41.8771075,-87.6251185
American Academy of Dramatic Arts at Los Angeles,Private,CA,TBD,263.0,1903,34.09531200000001,-118.343692
American Academy of Dramatic Arts at New York,Private,NY,TBD,270.0,1872,40.7454399,-73.9848219
American Baptist College,Private,TN,TBD,123.0,2825,36.202408,-86.7898667
American Conservatory Theater,Private,CA,TBD,46.0,783,37.787034,-122.4102209
American International College,Private,MA,TBD,3152.0,1592,42.1129218,-72.5573236
American Jewish U.,Private,CA,TBD,168.0,1903,34.1263884,-118.4725275
American Musical and Dramatic Academy,Private,NY,Primarily online,1676.0,1872,40.7721673,-73.9875806
American River College,Public,CA,Primarily online,31366.0,667,38.6511479,-121.3467327
American U.,Private,DC,Primarily online,14311.0,1793,38.9374948,-77.08880289999999
Amherst College,Private,MA,Primarily in person,1855.0,705,42.3709104,-72.5170028
Amridge U.,Private,AL,Fully online,755.0,2773,32.3626707,-86.17392559999999
Ancilla College,Private,IN,Primarily online,415.0,1592,41.338161,-86.445869
Anderson U. (Ind.),Private,IN,Primarily online,1722.0,650,40.1114679,-85.6650798
Anderson U. (S.C.),Private,SC,Primarily in person,3429.0,1053,34.5145743,-82.6393813
Andrew College,Private,GA,Fully in person,293.0,3655,31.77232799999999,-84.7950894
Andrews U.,Private,MI,Primarily in person,3407.0,834,41.9646127,-86.35946609999999
Angelina College,Public,TX,Hybrid,4919.0,1880,31.2873317,-94.73120139999999
Angelo State U.,Public,TX,Hybrid,10387.0,1341,31.4382686,-100.4602762
Anna Maria College,Private,MA,Hybrid,1461.0,1631,42.3292694,-71.9207763
Anne Arundel Community College,Public,MD,Fully online,12886.0,1226,39.0498687,-76.5135634
Anoka Technical College,Public,MN,Primarily online,1844.0,958,45.2166314,-93.4169343
Anoka-Ramsey Community College,Public,MN,TBD,8845.0,958,45.1740986,-93.3507881
Antelope Valley College,Public,CA,TBD,14239.0,1903,34.6769819,-118.1862581
Antioch College,Private,OH,Hybrid,102.0,373,39.8002995,-83.8881291
Apex School of Theology,Private,NC,Other,554.0,1916,35.9225125,-78.8413111
Appalachian Bible College,Private,WV,Fully in person,263.0,248,37.8532855,-81.2011728
Appalachian State U.,Public,NC,Primarily online,19108.0,473,36.2135255,-81.6839919
Aquinas College (Mich.),Private,MI,Primarily online,1758.0,1119,42.96032779999999,-85.6285917
Arapahoe Community College,Public,CO,Hybrid,11544.0,1100,39.6080683,-105.0188452
Arcadia U.,Private,PA,Primarily online,3662.0,1198,40.0920362,-75.16594309999999
Arizona Christian U.,Private,AZ,Hybrid,776.0,2828,33.6209932,-112.1807676
Arizona State U.,Public,AZ,Hybrid,51585.0,2828,33.4242399,-111.9280527
