state,county,march_case,april_case,may_case,june_case,july_case,march_death,april_death,may_death,june_death,july_death
AK,Aleutians East Borough,,,,2.0,3.0,,,,0.0,0.0
AK,Aleutians West Census Area,,,,4.0,88.0,,,,0.0,0.0
AK,Anchorage,61.0,179.0,217.0,485.0,1696.0,2.0,4.0,4.0,6.0,10.0
AK,Bethel Census Area,,1.0,3.0,11.0,21.0,,0.0,0.0,0.0,0.0
AK,Bristol Bay Borough,,,1.0,26.0,63.0,,,0.0,0.0,0.0
AK,Denali Borough,,,,1.0,4.0,,,,0.0,0.0
AK,Dillingham Census Area,,,,18.0,21.0,,,,0.0,0.0
AK,Fairbanks North Star Borough,31.0,81.0,85.0,155.0,422.0,0.0,2.0,2.0,2.0,5.0
AK,Haines Borough,,,,5.0,8.0,,,,0.0,0.0
AK,Juneau City and Borough,5.0,27.0,33.0,48.0,141.0,0.0,0.0,0.0,2.0,2.0
AK,Kenai Peninsula Borough,7.0,18.0,40.0,159.0,436.0,0.0,0.0,1.0,1.0,1.0
AK,Ketchikan Gateway Borough,13.0,16.0,16.0,29.0,47.0,0.0,0.0,0.0,0.0,0.0
AK,Kodiak Island Borough,,1.0,1.0,7.0,15.0,,0.0,0.0,0.0,0.0
AK,Kusilvak Census Area,,,,,4.0,,,,,0.0
AK,Lake and Peninsula Borough,,,,3.0,5.0,,,,0.0,0.0
AK,Matanuska-Susitna Borough,3.0,21.0,25.0,84.0,271.0,0.0,1.0,1.0,1.0,2.0
AK,Nome Census Area,,1.0,3.0,9.0,20.0,,0.0,0.0,0.0,0.0
AK,North Slope Borough,,,1.0,4.0,15.0,,,0.0,0.0,0.0
AK,Northwest Arctic Borough,,,2.0,4.0,28.0,,,0.0,0.0,0.0
AK,Petersburg Borough,,3.0,3.0,4.0,9.0,,0.0,0.0,0.0,0.0
AK,Prince of Wales-Hyder Census Area,,2.0,2.0,3.0,6.0,,0.0,0.0,0.0,0.0
AK,Sitka City and Borough,,1.0,2.0,17.0,30.0,,0.0,0.0,0.0,0.0
AK,Southeast Fairbanks Census Area,,1.0,3.0,11.0,26.0,,0.0,0.0,0.0,0.0
AK,Unknown,,,1.0,11.0,43.0,,,0.0,0.0,0.0
AK,Valdez-Cordova Census Area,,,2.0,21.0,85.0,,,0.0,0.0,0.0
AK,Wrangell City and Borough,,,,8.0,8.0,,,,0.0,0.0
AK,Yukon-Koyukuk Census Area,,1.0,1.0,3.0,42.0,,0.0,0.0,0.0,1.0
AL,Autauga,7.0,42.0,216.0,537.0,1002.0,0.0,4.0,4.0,12.0,21.0
AL,Baldwin,18.0,174.0,283.0,680.0,3028.0,0.0,3.0,9.0,10.0,21.0
AL,Barbour,,39.0,150.0,325.0,585.0,,1.0,1.0,1.0,5.0
AL,Bibb,2.0,42.0,72.0,170.0,352.0,0.0,0.0,1.0,1.0,2.0
AL,Blount,5.0,37.0,61.0,208.0,731.0,0.0,0.0,1.0,1.0,3.0
AL,Bullock,3.0,13.0,203.0,365.0,435.0,0.0,0.0,4.0,10.0,12.0
AL,Butler,1.0,53.0,402.0,607.0,747.0,0.0,1.0,17.0,27.0,36.0
AL,Calhoun,9.0,93.0,154.0,276.0,1336.0,0.0,3.0,3.0,5.0,8.0
AL,Chambers,36.0,291.0,353.0,590.0,848.0,4.0,21.0,25.0,27.0,38.0
AL,Cherokee,2.0,15.0,37.0,74.0,234.0,0.0,0.0,3.0,7.0,8.0
AL,Chilton,10.0,53.0,100.0,214.0,686.0,0.0,1.0,1.0,3.0,6.0
AL,Choctaw,2.0,43.0,151.0,192.0,270.0,0.0,0.0,8.0,12.0,12.0
AL,Clarke,,32.0,142.0,265.0,487.0,,1.0,2.0,5.0,9.0
AL,Clay,2.0,21.0,27.0,53.0,193.0,0.0,1.0,2.0,2.0,5.0
AL,Cleburne,5.0,12.0,14.0,29.0,110.0,0.0,1.0,1.0,1.0,1.0
AL,Coffee,,111.0,229.0,357.0,697.0,,0.0,1.0,2.0,5.0
