2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,county,state,2014_pi,2015_pi,2016_pi,2017_pi,2018_pi
1406262,1518409,1526310,1422078,1483414,Autauga, AL,2013920,2124760,2185415,2242663,2314018
5178584,5345363,5496105,5525882,5774289,Baldwin, AL,7888869,8413951,8912390,9352917,9940939
742751,756590,742810,745625,787425,Barbour, AL,800596,824607,815751,831418,875795
368995,358372,357831,353859,364197,Bibb, AL,636890,652192,650169,655927,677683
820346,824934,783480,813934,849114,Blount, AL,1807033,1846055,1862941,1939121,2022984
221551,224849,246072,233531,244183,Bullock, AL,267551,274133,276702,279251,291939
562054,570113,554471,554848,570686,Butler, AL,668506,675558,670999,691108,717336
3881163,3810823,3862408,3861148,3950436,Calhoun, AL,3840835,3949207,3999593,4095935,4241974
1516561,1793988,1953597,1938158,1941217,Chambers, AL,1037650,1071424,1096561,1099929,1138173
494782,484118,457675,461223,498013,Cherokee, AL,820781,852789,846134,873882,924269
802649,799902,798726,806179,837887,Chilton, AL,1339920,1391518,1413607,1474216,1536453
549797,531136,526604,505034,547773,Choctaw, AL,467475,467349,465536,473462,504400
794943,806072,793755,771341,784519,Clarke, AL,810869,832081,838477,838026,869748
306189,320213,315873,323580,339246,Clay, AL,395710,414747,417180,427972,445106
296770,304126,295526,284999,294019,Cleburne, AL,489491,498846,500661,519659,541914
1256392,1349456,1375548,1410365,1470262,Coffee, AL,1937969,2020939,2065547,2136728,2236962
2770932,2814138,2778239,2708633,2755838,Colbert, AL,1896477,1941901,1972898,2020829,2101658
457751,466177,464317,456696,449646,Conecuh, AL,368434,381688,378883,388799,400917
162822,164838,168598,167226,177103,Coosa, AL,296899,307095,315833,321919,335679
1118312,1126948,1120631,1134066,1146899,Covington, AL,1195656,1219220,1234126,1275235,1318591
412119,427983,403588,403510,408219,Crenshaw, AL,473963,500305,478992,496545,506575
2408628,2479048,2473561,2491025,2548547,Cullman, AL,2849055,3013483,3021906,3160867,3304856
2453315,2405727,2423899,2459148,2505314,Dale, AL,1665214,1687609,1700472,1733756,1792406
1204486,1186330,1196803,1156152,1174931,Dallas, AL,1278025,1315434,1341226,1345036,1380143
1711271,1728455,1621227,1688189,1768414,DeKalb, AL,2051997,2122280,2093610,2190846,2278326
1575546,1614849,1639742,1653310,1694188,Elmore, AL,2954023,3114264,3216987,3335318,3461288
1175195,1152718,1162771,1163160,1172006,Escambia, AL,1123303,1142742,1139800,1170670,1212524
2725594,2741934,2742949,2746645,2803470,Etowah, AL,3400440,3509989,3578317,3658631,3784122
336051,334480,325660,327225,331837,Fayette, AL,515558,537859,538576,551743,574598
815764,829741,802754,849068,886031,Franklin, AL,948231,984565,979370,1024197,1076308
478547,505054,513876,496140,519624,Geneva, AL,824419,862033,864334,890968,926048
281552,255456,245437,225323,235854,Greene, AL,247549,257503,260745,261086,266413
266928,280598,291003,285818,280041,Hale, AL,487185,513031,517740,526591,538747
308473,312287,308340,320602,327713,Henry, AL,598144,618937,643291,664858,694551
4212494,4190752,4221379,4238912,4349489,Houston, AL,3907550,4031761,4113181,4241903,4440041
1527758,1420121,1317412,1300797,1319359,Jackson, AL,1733797,1760751,1779931,1821909,1891824
39020527,39503092,39475772,40567288,41774355,Jefferson, AL,30900717,32337589,32734578,34380771,36083710
296869,291779,288955,289482,296054,Lamar, AL,424513,437636,443753,448055,463715
2479646,2445200,2402567,2395624,2467086,Lauderdale, AL,3172624,3237534,3254675,3293697,3432307
692003,556342,518065,517319,563208,Lawrence, AL,1072412,1046260,1034506,1078190,1124670
5020315,5457975,5702179,5897678,6013577,Lee, AL,5131261,5367786,5685384,5889666,6235716
3054617,3149394,3223504,3286233,3288507,Limestone, AL,3345358,3486666,3630247,3842498,4091850
435293,414680,410956,415054,413334,Lowndes, AL,386498,400777,379872,394169,388901
453815,437082,437693,427667,437305,Macon, AL,565868,573072,582742,590135,606992
19569526,19888881,20314558,20825274,21707550,Madison, AL,15837011,16567253,17136648,17778770,18855557
682733,673931,678430,650660,657507,Marengo, AL,705026,714813,715253,725200,758837
762205,779032,759279,773143,804250,Marion, AL,888594,911751,912653,946936,990034
2804226,2830730,2864795,2943251,3061736,Marshall, AL,3060718,3184140,3205643,3306085,3464181
17664949,17548197,17901624,17642633,17882906,Mobile, AL,14369961,14906046,14968213,15244822,15823146
590640,611360,610770,610310,618262,Monroe, AL,645780,677095,673468,675703,704827
12063870,12294898,12473078,12457671,12633330,Montgomery, AL,8888014,9217546,9398089,9585165,9863168
4606569,4665658,4808714,4827146,4980085,Morgan, AL,4265035,4363267,4422422,4549210,4762462
208989,203560,198292,191859,183432,Perry, AL,265730,273661,276598,281184,279092
405981,407990,399004,389315,390766,Pickens, AL,620344,628007,617642,630335,648993
1247401,1305018,1327688,1315469,1309102,Pike, AL,1107695,1154815,1167931,1208338,1245466
431378,438364,415983,418763,427804,Randolph, AL,673311,699079,681276,708670,736531
1360235,1417799,1437492,1427776,1472862,Russell, AL,1725545,1789509,1786993,1846775,1912764
1677557,1666235,1694102,1718514,1764952,St. Clair, AL,2918054,3032645,3123178,3254471,3420651
8828571,9434367,9427502,9929586,10317323,Shelby, AL,9927303,10487462,10708944,11082252,11727854
349841,353400,359431,335668,326706,Sumter, AL,401861,402028,400220,401952,401843
2845808,2820169,2795690,2745857,2840194,Talladega, AL,2518159,2566637,2614146,2663286,2771470
1156405,1189686,1222578,1146322,1186139,Tallapoosa, AL,1443277,1517205,1549964,1576979,1648072
8908643,8593630,8509273,8775197,9042556,Tuscaloosa, AL,7182561,7357882,7467557,7717938,8110371
1805542,1942586,1871326,1942619,2058416,Walker, AL,2358711,2422259,2390211,2460330,2560998
824443,727863,778980,775076,799290,Washington, AL,560579,571415,570905,576673,594905
366044,372273,379381,373667,378418,Wilcox, AL,314165,322184,328213,331307,342345
613138,629762,623036,650751,667455,Winston, AL,741100,757810,764869,799706,838275
137577,181353,194592,201690,201612,Aleutians East Borough, AK*,135783,168645,193980,203444,199215
379178,371005,367795,347146,353175,Aleutians West Census Area, AK*,305486,303831,315111,301733,311245
20090732,20856627,20413792,19985366,20329942,Anchorage Municipality, AK,18423042,19018588,18478395,18589578,19390315
615715,611875,606090,608355,625190,Bethel Census Area, AK*,712066,729248,741812,761735,792397
120360,113052,116004,114238,130341,Bristol Bay Borough, AK,110407,99925,108283,109529,125915
250732,243176,233441,234794,237263,Denali Borough, AK*,150613,152009,155194,162564,170730
248871,249674,243808,242542,248432,Dillingham Census Area, AK*,270324,273963,275690,286436,298104
5596635,5599363,5572193,5582087,5654089,Fairbanks North Star Borough, AK,5179090,5358213,5316375,5382588,5602350
89945,93788,91604,95983,98959,Haines Borough, AK,135449,147361,145109,157319,165904
75422,85838,81045,81947,83216,Hoonah-Angoon Census Area, AK*,116448,120951,116749,126793,132828
2315389,2221936,2237416,2294784,2298214,Juneau City and Borough, AK,2038641,2068524,2066433,2109095,2188326
2903473,2901418,2833117,2788536,2808539,Kenai Peninsula Borough, AK,2905082,2980054,2895945,2908339,3044611
816635,818853,797981,791585,800724,Ketchikan Gateway Borough, AK*,866308,892543,880839,904811,940891
757383,767476,713809,711871,715043,Kodiak Island Borough, AK,803844,841392,792983,826782,853258
150106,145175,146585,142129,144996,Kusilvak Census Area, AK*,240161,235808,245048,245567,249909
82176,79081,76957,84208,88124,Lake and Peninsula Borough, AK*,88228,89670,87107,98379,103812
2197992,2288760,2260538,2207986,2266408,Matanuska-Susitna Borough, AK,4474367,4743687,4637103,4685397,4938943
406581,412660,380519,392868,396694,Nome Census Area, AK*,462723,476799,478136,493599,514193
11403189,11130682,10567213,11231169,10469543,North Slope Borough, AK,947867,973399,867635,829148,824200
642301,577594,591812,680814,696765,Northwest Arctic Borough, AK,334793,337657,337438,348437,367086
172825,195546,185565,175901,172178,Petersburg Borough, AK*,211365,217110,209376,217384,225454
215268,222437,229481,222055,219255,Prince of Wales-Hyder Census Area, AK*,249182,259453,259557,268177,280687
(NA),(NA),(NA),(NA),(NA),Prince of Wales-Outer Ketchikan Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
488399,474614,430768,429859,443526,Sitka City and Borough, AK,584760,599428,555495,588660,622344
89032,89024,95080,95733,95346,Skagway Municipality, AK*,85830,79486,84628,89224,93529
(NA),(NA),(NA),(NA),(NA),Skagway-Hoonah-Angoon Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
614490,558749,594212,640754,637943,Southeast Fairbanks Census Area, AK*,313206,323125,319850,326689,341737
2119904,2174869,2157680,2173189,2331614,Valdez-Cordova Census Area, AK*,530308,546883,534002,551006,570984
86131,96477,100629,92788,94120,Wrangell City and Borough, AK*,113936,117187,112436,112901,119288
(NA),(NA),(NA),(NA),(NA),Wrangell-Petersburg Census Area, AK*,(NA),(NA),(NA),(NA),(NA)
40545,34590,28345,27057,28420,Yakutat City and Borough, AK*,42680,38693,33351,33860,35598
