Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng,institution,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020,per_dem,per_gop,pi_2014,pi_2015,pi_2016,pi_2017,pi_2018,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,state,cases_mar,cases_apr,cases_may,cases_june,cases_july,death_mar,death_apr,death_may,death_june,death_july,Total_Cases,Perecent_of_State_Cases,Cases_per_100000,Total_Deaths
Public,MT,TBD,150.0,134,48.4838563,-108.7576639,Aaniiih Nakoda College,"269 Blackfeet Avenue Agency, Harlem, Montana 59526",Rural: Remote,No,819301.0,8716.0,0.00 ,,131,0,23,2,59526,Harlem,Blaine,0.0,0.0,0,0,0,0,2410.0,17030.0,,,0.452880579931,0.48035101106399997,29084.0,29650.0,28958.0,29329.0,31263.0,211962.0,205467.0,181000.0,164944.0,197201.0,MT,0,0,0,0,7,0,0,0,0,0,<20,Not Calculated,Not Calculated,0
Private,TX,Primarily in person,5204.0,790,32.469732,-99.708098,Abilene Christian University,", Abilene, Texas 79699",City: Midsize,Yes,69502352.0,20187.0,19263408.00 ,10550.00 ,3525,1767,385,4,79699,Abilene,Taylor,0.0,0.0,0,0,0,0,34137.5,48972.25,22356.0,0.0,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085,0.2%,786,<20
Private,TX,TBD,2344.0,790,32.4768502,-99.7340564,Hardin-Simmons University,"2200 Hickory, Abilene, Texas 79698-0001",City: Midsize,Yes,30714874.0,18110.0,6757086.00 ,6560.00 ,1742,582,204,4,79698,Abilene,Taylor,0.0,0.0,0,0,0,0,28100.0,40543.0,12105.0,1300.0,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085,0.2%,786,<20
Private,TX,Hybrid,1132.0,790,32.43038,-99.749702,McMurry University,"S 14th and Sayles Blvd, Abilene, Texas 79697",City: Midsize,Yes,15298291.0,15952.0,5748521.00 ,7408.00 ,1166,9,127,4,79697,Abilene,Taylor,0.0,0.0,0,0,0,0,27170.0,41021.5,15642.0,461.0,0.221954667963,0.732823752927,44198.0,42749.0,42087.0,42874.0,45333.0,5794505.0,5753114.0,5680692.0,5797155.0,6073954.0,TX,7,319,328,494,1721,0,5,5,5,18,1085,0.2%,786,<20
Public,GA,Primarily online,4291.0,3076,31.48307599999999,-83.53019429999998,Abraham Baldwin Agricultural College,"2802 Moore Hwy, Tifton, Georgia 31793-2601",Town: Distant,Yes,16222202.0,4953.0,8519194.00 ,5679.00 ,3927,0,201,4,31793,Tifton,Tift,10253.25,3506.0,0,0,0,0,0.0,15242.5,,,0.304157549234,0.678336980306,33648.0,36633.0,35361.0,36148.0,37805.0,1631881.0,1803154.0,1641382.0,1671954.0,1722446.0,GA,19,118,256,750,1208,0,5,17,26,34,1297,0.6%,"3,191",35
Private,FL,Other,466.0,2367,26.706423200000003,-80.1214853,Academy for Nursing and Health Occupations,"5154 Okeechobee Blvd Ste 201, West Palm Beach, Florida 33417",Suburb: Large,No,1577912.0,6440.0,3156855.00 ,12189.00 ,552,0,26,2,33417,West Palm Beach,Palm Beach,0.0,0.0,0,0,0,0,38150.0,91262.5,,,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737,7%,"2,388",892
Public,FL,Primarily online,29772.0,2367,26.374987599999997,-80.10106329999998,Florida Atlantic University,"777 Glades Rd, Administration Bldg., Room 339, Boca Raton, Florida 33431-0991",City: Small,Yes,131759569.0,9031.0,50902616.00 ,6453.00 ,24740,5321,1484,4,33431,Boca Raton,Palm Beach,17288.0,4843.0,5467,16695,1226,1226,0.0,23924.5,,,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737,7%,"2,388",892
Private,FL,Primarily in person,3093.0,2367,26.384253499999996,-80.12497950000001,Lynn University ,"3601 N. Military Trail, Boca Raton, Florida 33431-5598",City: Small,Yes,30224444.0,15858.0,4679903.00 ,6282.00 ,2422,825,208,4,33431,Boca Raton,Palm Beach,0.0,0.0,0,0,0,0,37575.0,55872.75,13320.0,100.0,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737,7%,"2,388",892
Private,FL,Primarily in person,3705.0,2367,26.7047472,-80.0504326,Palm Beach Atlantic University,"901 S. Flagler Drive, West Palm Beach, Florida 33401",City: Midsize,Yes,44756157.0,19630.0,8141244.00 ,6282.00 ,2883,808,369,4,33401,West Palm Beach,Palm Beach,0.0,0.0,0,0,0,0,30605.0,47444.5,10260.0,580.0,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737,7%,"2,388",892
Public,FL,Primarily online,31816.0,2367,26.840894300000002,-80.0792512,Palm Beach State College,"4200 Congress Ave, Lake Worth, Florida 33461-4796",Suburb: Large,No,62084169.0,4463.0,10901708.00 ,4405.00 ,31289,0,1252,4,33461,Lake Worth,Palm Beach,8732.0,2444.0,0,0,0,0,0.0,18464.0,,,0.5651114137259999,0.41197136488499997,66126.0,70213.0,70241.0,75183.0,79760.0,62416939.0,65902060.0,67751333.0,70558459.0,72270528.0,FL,462,2961,5896,14148,32694,10,186,337,510,806,35737,7%,"2,388",892
Public,CO,Primarily in person,3110.0,1362,37.4746242,-105.8806504,Adams State University,"208 Edgemont Blvd, Alamosa, Colorado 81101",Town: Remote,Yes,11947354.0,8765.0,5792666.00 ,6839.00 ,1955,1159,184,4,81101,Alamosa,Alamosa,20588.25,9368.25,4590,7830,2721,2721,0.0,22748.25,,,0.459330143541,0.439466434682,32221.0,34706.0,34692.0,35437.0,37351.0,600714.0,662337.0,659375.0,654314.0,671553.0,CO,1,10,74,191,222,0,2,2,3,8,224,0.5%,"1,380",<20
Private,NY,Primarily online,8146.0,3194,40.7198865,-73.6522537,Adelphi University,"South Ave, Garden City, New York 11530-0701",Suburb: Large,Yes,94918781.0,19075.0,22354805.00 ,6966.00 ,5360,2631,1116,4,11530,Garden City,Nassau,0.0,0.0,0,0,0,0,37987.5,57528.0,41920.0,1500.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Public,NY,TBD,17269.0,2406,40.69737620000001,-73.98608390000003,New York Institute of Technology,"Northern Blvd, Old Westbury, New York 11568-8000",Suburb: Large,Yes,69761310.0,22576.0,11710247.00 ,6470.00 ,3694,3536,1016,4,11568,Old Westbury,Nassau,0.0,0.0,0,0,0,0,36482.5,57596.25,23760.0,260.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,Primarily online,7173.0,3194,40.769718,-73.982575,New York Institute of Technology,"Northern Blvd, Old Westbury, New York 11568-8000",Suburb: Large,Yes,69761310.0,22576.0,11710247.00 ,6470.00 ,3694,3536,1016,4,11568,Old Westbury,Nassau,0.0,0.0,0,0,0,0,36482.5,57596.25,23760.0,260.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,Primarily in person,10871.0,3194,40.7166872,-73.5993965,Hofstra University,"100 Hofstra University, Hempstead, New York 11549",Suburb: Large,Yes,144095475.0,24699.0,20324888.00 ,6461.00 ,6498,4306,1229,4,11549,Hempstead,Nassau,0.0,0.0,0,0,0,0,44832.5,62863.0,25164.0,970.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,TBD,4929.0,3194,40.686273299999996,-73.6272812,Molloy College,"1000 Hempstead Ave, Rockville Centre, New York 11571-5002",Suburb: Large,Yes,37480468.0,13434.0,16459336.00 ,7289.00 ,3496,1617,676,4,11571,Rockville Centre,Nassau,0.0,0.0,0,0,0,0,30875.0,51097.5,21510.0,1100.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Public,NY,Primarily online,17406.0,3194,40.729040600000005,-73.59401329999999,Nassau Community College,"One Education Dr, Garden City, New York 11530-6793",Suburb: Large,No,56606423.0,6552.0,12744876.00 ,5194.00 ,16650,0,1219,2,11530,Garden City,Nassau,10952.5,5722.5,0,0,0,0,0.0,25107.5,,,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,TBD,473.0,3194,40.80936699999999,-73.51617999999998,New York College of Health Professions,"6801 Jericho Tpk, Syosset, New York 11791-4413",Suburb: Large,No,702028.0,3250.0,1188022.00 ,4273.00 ,427,78,88,4,11791,Syosset,Nassau,0.0,0.0,0,0,0,0,14226.0,42384.25,16956.0,195.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,Other,160.0,3194,40.6051718,-73.7401548,Sh'or Yoshuv Rabbinical College,"1 Cedarlawn Avenue, Lawrence, New York 11559-1714",Suburb: Large,Yes,806147.0,8143.0,0.00 ,_,162,9,24,4,11559,Lawrence,Nassau,0.0,0.0,0,0,0,0,9735.0,19960.0,10000.0,560.0,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,NY,Primarily in person,104.0,3194,40.8845864,-73.64405490000001,Webb Institute,"298 Crescent Beach Rd, Glen Cove, New York 11542-1398",Suburb: Large,Yes,5259925.0,50576.0,66525.00 ,4435.00 ,102,0,16,4,11542,Glen Cove,Nassau,0.0,0.0,0,0,0,0,49510.0,69985.0,,,0.512509818244,0.4594004159100001,75376.0,78573.0,80690.0,85168.0,89839.0,79298201.0,80269906.0,80681308.0,81313669.0,81196003.0,NY,7344,35854,40307,41807,43158,48,2111,2615,2693,2706,43480,10.4%,"3,204","2,194"
Private,MI,Primarily in person,1856.0,398,41.8987054,-84.05924139999998,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",Town: Distant,Yes,48096035.0,27250.0,6041428.00 ,4325.00 ,1779,49,194,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,36449.0,52772.5,18600.0,975.0,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413,0.4%,419,<20
Private,MI,Primarily in person,2433.0,398,41.904611100000004,-84.01626170000002,Siena Heights University,"1247 E. Siena Heights Dr., Adrian, Michigan 49221",Town: Distant,Yes,20335330.0,13352.0,13343920.00 ,9951.00 ,2103,234,200,4,49221,Adrian,Lenawee,0.0,0.0,0,0,0,0,26266.0,39384.5,12060.0,386.0,0.36496350365,0.575836147729,34264.0,36287.0,36934.0,37956.0,39600.0,2457283.0,2471418.0,2530092.0,2544827.0,2674402.0,MI,15,109,878,949,1117,0,2,7,10,16,413,0.4%,419,<20
Private,FL,Primarily online,1705.0,2248,28.576258000000003,-81.36762619999998,AdventHealth University,"671 Winyah Drive, Orlando, Florida 32803",City: Large,Yes,4754908.0,6042.0,5972751.00 ,7777.00 ,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,17130.0,1100.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
Private,FL,Primarily in person,508.0,2184,28.034575,-82.3834526,Florida College,"671 Winyah Drive, Orlando, Florida 32803",City: Large,Yes,4754908.0,6042.0,5972751.00 ,7777.00 ,1234,454,247,4,32803,Orlando,Orange,0.0,0.0,0,0,0,0,13967.5,27043.5,17130.0,1100.0,0.603845731037,0.357440454379,38266.0,40379.0,40750.0,42776.0,44647.0,74269611.0,77882979.0,81146561.0,84359305.0,87741273.0,FL,299,1384,1975,10313,28590,4,33,40,57,211,30776,6%,"2,209",275
