CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
Aaniiih Nakoda College,Aaniiih Nakoda College,"269 Blackfeet Avenue Agency, Harlem, Montana 59526",Rural: Remote,No,819301.0,8716.0,0.00 ,,131,0,23,2,Public,MT,59526,Harlem,Blaine County,0.0,0.0,0,0,0,0,2410.0,17030.0,,
Abilene Christian University,Abilene Christian University,", Abilene, Texas 79699",City: Midsize,Yes,69502352.0,20187.0,19263408.00 ,10550.00 ,3525,1767,385,4,Privatenot-for-profit,TX,79699,Abilene,Taylor County,0.0,0.0,0,0,0,0,34137.5,48972.25,22356.0,0.0
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,"2802 Moore Hwy, Tifton, Georgia 31793-2601",Town: Distant,Yes,16222202.0,4953.0,8519194.00 ,5679.00 ,3927,0,201,4,"primarilyassociate's,Public",GA,31793,Tifton,Tift County,10253.25,3506.0,0,0,0,0,0.0,15242.5,,
Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,"5154 Okeechobee Blvd Ste 201, West Palm Beach, Florida 33417",Suburb: Large,No,1577912.0,6440.0,3156855.00 ,12189.00 ,552,0,26,2,Privatenot-for-profit,FL,33417,West Palm Beach,Palm Beach County,0.0,0.0,0,0,0,0,38150.0,91262.5,,
Academy of Interactive Entertainment,Academy of Interactive Entertainment,"537 Cajundome Boulevard #211, Lafayette, Louisiana 70506-4293",City: Midsize,No,357260.0,7005.0,407134.00 ,8309.00 ,88,0,4,2,Privatenot-for-profit,LA,70506,Lafayette,Lafayette Parish,0.0,0.0,0,0,0,0,19562.5,34082.0,,
Adams State University,Adams State University,"208 Edgemont Blvd, Alamosa, Colorado 81101",Town: Remote,Yes,11947354.0,8765.0,5792666.00 ,6839.00 ,1955,1159,184,4,Public,CO,81101,Alamosa,Alamosa County,20588.25,9368.25,4590,7830,2721,2721,0.0,22748.25,,
Adelphi University,Adelphi University,"South Ave, Garden City, New York 11530-0701",Suburb: Large,Yes,94918781.0,19075.0,22354805.00 ,6966.00 ,5360,2631,1116,4,Privatenot-for-profit,NY,11530,Garden City,Nassau County,0.0,0.0,0,0,0,0,37987.5,57528.0,41920.0,1500.0
Adrian College,Adrian College,"110 S Madison St, Adrian, Michigan 49221-2575",Town: Distant,Yes,48096035.0,27250.0,6041428.00 ,4325.00 ,1779,49,194,4,Privatenot-for-profit,MI,49221,Adrian,Lenawee County,0.0,0.0,0,0,0,0,36449.0,52772.5,18600.0,975.0
AdventHealth University,AdventHealth University,"671 Winyah Drive, Orlando, Florida 32803",City: Large,Yes,4754908.0,6042.0,5972751.00 ,7777.00 ,1234,454,247,4,Privatenot-for-profit,FL,32803,Orlando,Orange County,0.0,0.0,0,0,0,0,13967.5,27043.5,17130.0,1100.0
Agnes Scott College,Agnes Scott College,"141 E. College Ave., Decatur, Georgia 30030-3770",Suburb: Large,Yes,30948022.0,31742.0,3771658.00 ,6652.00 ,1005,62,136,4,Privatenot-for-profit,GA,30030,Decatur,DeKalb County,0.0,0.0,0,0,0,0,40570.5,54796.75,16200.0,160.0
Aiken Technical College,Aiken Technical College,"2276 Jefferson Davis Highway, Graniteville, South Carolina 29829",Rural: Fringe,No,6338591.0,3579.0,2418867.00 ,5147.00 ,2236,0,174,2,Public,SC,29829,Graniteville,Aiken County,6798.5,4934.5,0,0,0,0,0.0,13462.0,,
